,id,url,name,season,number,type,airdate,airtime,airstamp,runtime,summary,show.id,show.url,show.name,show.type,show.language,show.status,show.runtime,show.averageRuntime,show.premiered,show.ended,show.officialSite,show.schedule.time,show.rating.average,show.weight,show.network,show.webChannel.id,show.webChannel.name,show.webChannel.country.name,show.webChannel.country.code,show.webChannel.country.timezone,show.webChannel.officialSite,show.dvdCountry,show.externals.tvrage,show.externals.thetvdb,show.externals.imdb,show.image.medium,show.image.original,show.summary,show.updated,show._links.self.href,show._links.previousepisode.href,show.network.id,show.network.name,show.network.country.name,show.network.country.code,show.network.country.timezone,show.network.officialSite,show._links.nextepisode.href,show.webChannel,show.image,show.webChannel.country,show.dvdCountry.name,show.dvdCountry.code,show.dvdCountry.timezone,self.href,medium,original,average,show.country,Action,Adult,Adventure,Anime,Children,Comedy,Crime,DIY,Drama,Family,Fantasy,Food,History,Horror,Legal,Medical,Music,Mystery,Nature,Romance,Science-Fiction,Sports,Supernatural,Thriller,Travel,War,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
10,2082171,https://www.tvmaze.com/episodes/2082171/ling-jian-zun-4x28-di128ji,第128集,4,28.0,regular,2020-12-01,,2020-12-01T04:00:00+00:00,10.0,,55016,https://www.tvmaze.com/shows/55016/ling-jian-zun,Ling Jian Zun,Animation,Chinese,Running,10.0,10.0,2019-01-15,,https://v.qq.com/x/cover/2w2legt0g8z26al.html,,,54,,104.0,Tencent QQ,China,CN,Asia/Shanghai,https://v.qq.com/,,,364730.0,,https://static.tvmaze.com/uploads/images/medium_portrait/311/778535.jpg,https://static.tvmaze.com/uploads/images/original_untouched/311/778535.jpg,"<p>The strong man was attacked and returned to his youth. He became the weakest waste young lord. He will never let go of the enemy of the previous life in this life and must make up the regret of the previous life in this life! By the time the Spirit Sword is powerful, the protagonist will be supreme in the three worlds between heaven and earth! If there is someone doesn't obey him, he will kill him with the sword!</p><p><br /> </p>",1663606001,https://api.tvmaze.com/shows/55016,https://api.tvmaze.com/episodes/2396413,,,,,,,https://api.tvmaze.com/episodes/2396414,,,,,,,https://api.tvmaze.com/episodes/2082171,,,,China,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11,2161414,https://www.tvmaze.com/episodes/2161414/mafia-nights-1x03-bazy-swm-grwh-awl,بازی سوم گروه اول,1,3.0,regular,2020-12-01,08:00,2020-12-01T04:30:00+00:00,90.0,,57339,https://www.tvmaze.com/shows/57339/mafia-nights,Mafia Nights,Reality,Persian,Running,90.0,90.0,2020-11-17,,,08:00,,34,,507.0,filimo,"Iran, Islamic Republic of",IR,Asia/Tehran,,,,392455.0,tt15127174,https://static.tvmaze.com/uploads/images/medium_portrait/354/885295.jpg,https://static.tvmaze.com/uploads/images/original_untouched/354/885295.jpg,"<p><b>Mafia Nights</b> is an Iranian television series in the family, social and enigmatic genres, directed by Saeid Aboutaleb. This series is based on the Mafia game. In each season of this series, one of the film and television actors invites 12 of his friends to play Mafia, and they, together with Mohammad Reza Alimardani, who is called the leader or organizer of the game, make the game completely real without the intervention of the directing team. They do. It started broadcasting on Tuesday, November 18, 2020 on the home theater network and will be distributed weekly on Tuesdays.</p><p><br /> </p>",1655911775,https://api.tvmaze.com/shows/57339,https://api.tvmaze.com/episodes/2299087,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/2161414,,,,"Iran, Islamic Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,1981059,https://www.tvmaze.com/episodes/1981059/vmeste-intervu-3x03-142-ekaterina-varnava,142. Екатерина Варнава,3,3.0,regular,2020-12-01,17:00,2020-12-01T05:00:00+00:00,37.0,,47027,https://www.tvmaze.com/shows/47027/vmeste-intervu,вМесте. Интервью,Talk Show,Russian,Running,25.0,26.0,2017-12-02,,http://vmesteproject.ru/intervue/,17:00,,14,,208.0,VK.com,Russian Federation,RU,Asia/Kamchatka,,,,,,https://static.tvmaze.com/uploads/images/medium_portrait/249/624044.jpg,https://static.tvmaze.com/uploads/images/original_untouched/249/624044.jpg,,1661475832,https://api.tvmaze.com/shows/47027,https://api.tvmaze.com/episodes/2380504,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/1981059,,,,Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,1939481,https://www.tvmaze.com/episodes/1939481/stjernestov-1x01-episode-1,Episode 1,1,1.0,regular,2020-12-01,06:00,2020-12-01T05:00:00+00:00,23.0,,50752,https://www.tvmaze.com/shows/50752/stjernestov,Stjernestøv,Scripted,Norwegian,Ended,20.0,20.0,2020-12-01,2020-12-24,https://tv.nrk.no/serie/stjernestoev,06:00,,22,,238.0,NRK TV,Norway,NO,Europe/Oslo,,,,392649.0,tt11492320,https://static.tvmaze.com/uploads/images/medium_portrait/288/721951.jpg,https://static.tvmaze.com/uploads/images/original_untouched/288/721951.jpg,"<p>The parents get divorced and Jo has to move to a new place. One day, Nordstjerna goes out, and Jo discovers that a girl with magical powers lives in the attic.</p>",1611436842,https://api.tvmaze.com/shows/50752,https://api.tvmaze.com/episodes/1977332,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/1939481,https://static.tvmaze.com/uploads/images/medium_landscape/286/715105.jpg,https://static.tvmaze.com/uploads/images/original_untouched/286/715105.jpg,,Norway,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,1969211,https://www.tvmaze.com/episodes/1969211/exit-nordpolen-1x01-seilasen,Seilasen,1,1.0,regular,2020-12-01,06:00,2020-12-01T05:00:00+00:00,30.0,,51893,https://www.tvmaze.com/shows/51893/exit-nordpolen,Exit Nordpolen,Documentary,Norwegian,Ended,40.0,36.0,2020-12-01,2020-12-01,https://tv.nrk.no/serie/exit-nordpolen,06:00,,12,,238.0,NRK TV,Norway,NO,Europe/Oslo,,,,394618.0,tt13570512,https://static.tvmaze.com/uploads/images/medium_portrait/287/717777.jpg,https://static.tvmaze.com/uploads/images/original_untouched/287/717777.jpg,"<p>When Børge Ousland goes on a trip, it's serious. Last autumn, he crossed the Arctic Ocean on skis. Everything did not go exactly according to plan. What happened along the way? <b>Exit Nordpolen</b> takes you on an insane expedition.</p>",1612976116,https://api.tvmaze.com/shows/51893,https://api.tvmaze.com/episodes/1969213,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/1969211,https://static.tvmaze.com/uploads/images/medium_landscape/284/710997.jpg,https://static.tvmaze.com/uploads/images/original_untouched/284/710997.jpg,,Norway,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
15,1969212,https://www.tvmaze.com/episodes/1969212/exit-nordpolen-1x02-ekspedisjonen,Ekspedisjonen,1,2.0,regular,2020-12-01,06:00,2020-12-01T05:00:00+00:00,39.0,,51893,https://www.tvmaze.com/shows/51893/exit-nordpolen,Exit Nordpolen,Documentary,Norwegian,Ended,40.0,36.0,2020-12-01,2020-12-01,https://tv.nrk.no/serie/exit-nordpolen,06:00,,12,,238.0,NRK TV,Norway,NO,Europe/Oslo,,,,394618.0,tt13570512,https://static.tvmaze.com/uploads/images/medium_portrait/287/717777.jpg,https://static.tvmaze.com/uploads/images/original_untouched/287/717777.jpg,"<p>When Børge Ousland goes on a trip, it's serious. Last autumn, he crossed the Arctic Ocean on skis. Everything did not go exactly according to plan. What happened along the way? <b>Exit Nordpolen</b> takes you on an insane expedition.</p>",1612976116,https://api.tvmaze.com/shows/51893,https://api.tvmaze.com/episodes/1969213,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/1969212,https://static.tvmaze.com/uploads/images/medium_landscape/284/710998.jpg,https://static.tvmaze.com/uploads/images/original_untouched/284/710998.jpg,,Norway,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
16,1969213,https://www.tvmaze.com/episodes/1969213/exit-nordpolen-1x03-exit,Exit,1,3.0,regular,2020-12-01,06:00,2020-12-01T05:00:00+00:00,39.0,,51893,https://www.tvmaze.com/shows/51893/exit-nordpolen,Exit Nordpolen,Documentary,Norwegian,Ended,40.0,36.0,2020-12-01,2020-12-01,https://tv.nrk.no/serie/exit-nordpolen,06:00,,12,,238.0,NRK TV,Norway,NO,Europe/Oslo,,,,394618.0,tt13570512,https://static.tvmaze.com/uploads/images/medium_portrait/287/717777.jpg,https://static.tvmaze.com/uploads/images/original_untouched/287/717777.jpg,"<p>When Børge Ousland goes on a trip, it's serious. Last autumn, he crossed the Arctic Ocean on skis. Everything did not go exactly according to plan. What happened along the way? <b>Exit Nordpolen</b> takes you on an insane expedition.</p>",1612976116,https://api.tvmaze.com/shows/51893,https://api.tvmaze.com/episodes/1969213,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/1969213,https://static.tvmaze.com/uploads/images/medium_landscape/284/710999.jpg,https://static.tvmaze.com/uploads/images/original_untouched/284/710999.jpg,,Norway,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
17,2003089,https://www.tvmaze.com/episodes/2003089/slepaa-10x93-mamocki,Мамочки,10,93.0,regular,2020-12-01,17:35,2020-12-01T05:35:00+00:00,25.0,,26268,https://www.tvmaze.com/shows/26268/slepaa,Слепая,Scripted,Russian,Running,25.0,25.0,2014-08-18,,http://tv3.ru/project/slepaya,17:35,,49,,99.0,Rutube,Russian Federation,RU,Asia/Kamchatka,,,,,,https://static.tvmaze.com/uploads/images/medium_portrait/103/258415.jpg,https://static.tvmaze.com/uploads/images/original_untouched/103/258415.jpg,,1663139432,https://api.tvmaze.com/shows/26268,https://api.tvmaze.com/episodes/2392690,514.0,ТВ-3,Russian Federation,RU,Asia/Kamchatka,,https://api.tvmaze.com/episodes/2392691,,,,,,,https://api.tvmaze.com/episodes/2003089,,,,Russian Federation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
18,1973845,https://www.tvmaze.com/episodes/1973845/im-a-celebritythe-daily-drop-1x14-bobby-cole-norris-ruthie-henshall-brenda-edwards,"Bobby Cole Norris, Ruthie Henshall, Brenda Edwards",1,14.0,regular,2020-12-01,06:00,2020-12-01T06:00:00+00:00,30.0,,51436,https://www.tvmaze.com/shows/51436/im-a-celebritythe-daily-drop,I'm a Celebrity...The Daily Drop,Variety,English,Ended,30.0,30.0,2020-11-16,2020-12-05,https://www.itv.com/hub/im-a-celebrity-the-daily-drop/10a0740a0001,06:00,,30,,54.0,ITV Hub,United Kingdom,GB,Europe/London,,,,,,https://static.tvmaze.com/uploads/images/medium_portrait/285/713500.jpg,https://static.tvmaze.com/uploads/images/original_untouched/285/713500.jpg,"<p>Getting excited for the return of I'm A Celebrity...? Well we've got some BRILLIANT news for you!</p><p>This year we're bringing you even more fun from Camp, with the arrival of <b>I'm A Celebrity…The Daily Drop</b>, a brand-new companion show for I'm A Celebrity…Get Me Out Of Here! that will air exclusively on the ITV Hub.</p><p>Hosted by Vick Hope from a virtual studio, the show will give fans an extra opportunity to delve deeper into the action from Camp, hear lively opinions and debates and get all the latest gossip. Brand new episodes will be available exclusively on the ITV Hub from 7am the morning after each main show airs and can be watched at any time.</p><p>On I'm A Celebrity…The Daily Drop, fans will be able to catch up on all the daily events from the castle and hear them discussed, debated and dissected by Vick and a lively panel of guests. Once the celebrities start to leave the castle they'll also join Vick on The Daily Drop to share their experiences of life in camp.</p><p>The show will also be repeated on ITV2 after it's dropped on the ITV Hub.</p>",1634913215,https://api.tvmaze.com/shows/51436,https://api.tvmaze.com/episodes/1973849,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/1973845,,,,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0
19,2018189,https://www.tvmaze.com/episodes/2018189/sheker-1x05-gde-moj-staff-suka,"Где мой стафф, сука?!",1,5.0,regular,2020-12-01,,2020-12-01T07:00:00+00:00,20.0,,53198,https://www.tvmaze.com/shows/53198/sheker,SHEKER,Scripted,Russian,To Be Determined,,22.0,2020-10-20,,https://salemsocial.kz/projects/sheker,,,7,,452.0,Aitube.kz,Kazakhstan,KZ,Asia/Qyzylorda,,,,,,https://static.tvmaze.com/uploads/images/medium_portrait/294/737070.jpg,https://static.tvmaze.com/uploads/images/original_untouched/294/737070.jpg,,1640436386,https://api.tvmaze.com/shows/53198,https://api.tvmaze.com/episodes/2199578,,,,,,,,,,,,,,https://api.tvmaze.com/episodes/2018189,,,,Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
